core_number,data_load,data_wrangle,rows,cols,filesize
1.0,71.5150000000001,4.967000000000098,10000001.0,5.0,500.8695459365845
1.0,122.58399999999983,8.143000000000029,20000001.0,5.0,946.0805625915527
1.0,162.05700000000002,10.445999999999913,30000001.0,5.0,1391.7778816223145
1.0,205.96900000000005,12.559999999999945,40000001.0,5.0,1969.4962701797485
1.0,42.93399999999997,3.615000000000009,5000001.0,5.0,273.53356170654297
1.0,256.605,14.507000000000062,50000001.0,5.0,2528.689781188965
1.0,293.94000000000005,16.608000000000175,60000001.0,5.0,3097.4457302093506
1.0,349.65500000000003,20.20999999999998,70000001.0,5.0,3601.0928888320923
2.0,45.75,3.632000000000062,10000001.0,5.0,500.8695459365845
2.0,74.75500000000011,5.132000000000062,20000001.0,5.0,946.0805625915527
2.0,99.08899999999994,5.753999999999905,30000001.0,5.0,1391.7778816223145
2.0,124.57799999999997,6.953000000000429,40000001.0,5.0,1969.4962701797485
2.0,31.938999999999965,3.2369999999999663,5000001.0,5.0,273.53356170654297
2.0,152.31899999999996,9.210000000000036,50000001.0,5.0,2528.689781188965
2.0,168.524,9.5,60000001.0,5.0,3097.4457302093506
3.0,40.923,3.5800000000001546,10000001.0,5.0,500.8695459365845
3.0,58.87799999999993,4.185999999999922,20000001.0,5.0,946.0805625915527
3.0,74.88400000000001,5.657000000000153,30000001.0,5.0,1391.7778816223145
3.0,93.98700000000002,5.842000000000013,40000001.0,5.0,1969.4962701797485
3.0,28.371999999999957,2.724999999999909,5000001.0,5.0,273.53356170654297
3.0,112.37099999999998,9.0460000000000491,50000001.0,5.0,2528.689781188965
3.0,119.40500000000003,7.024999999999977,60000001.0,5.0,3097.4457302093506
4.0,35.307000000000016,3.7180000000000746,10000001.0,5.0,500.8695459365845
4.0,55.86699999999999,4.649000000000001,20000001.0,5.0,946.0805625915527
4.0,64.3409999999999,4.713999999999942,30000001.0,5.0,1391.7778816223145
4.0,82.315,6.353999999999985,40000001.0,5.0,1969.4962701797485
4.0,28.369000000000028,2.4750000000000227,5000001.0,5.0,273.53356170654297
4.0,93.28200000000001,7.004000000000019,50000001.0,5.0,2528.689781188965
4.0,99.59100000000001,6.449999999999989,60000001.0,5.0,3097.4457302093506
